TYPE;SOUSTYPE;ADRESSE;CODE_POSTAL;VILLE;ARRONDISSEMENT;DATEDECL;ANNEE DECLARATION;MOIS DECLARATION;NUMERO;PREFIXE;INTERVENANT;CONSEIL DE QUARTIER;OBJECTID;geo_shape;geo_point_2d
Objets abandonnés;Planches et palettes;13 passage hebrard ,75010 PARIS;75010;Paris 10;10.0;2012-11-28T02:00:00+01:00;2012;11;4876.0;S;Ramen en tant que prestataire de DansMaRue;FAUBOURG DU TEMPLE - HOPITAL SAINT-LOUIS;16923;"{""type"": ""Point"", ""coordinates"": [2.371531993663567, 48.87265399536319]}";48.8726539954, 2.37153199366
Objets abandonnés;Portes, fenêtres, volets, vitres et sanitaires;7 rue de l'orillon ,75011 PARIS;75011;Paris 11;11.0;2012-11-30T02:00:00+01:00;2012;11;5336.0;S;Ramen en tant que prestataire de DansMaRue;BELLEVILLE - SAINT-MAUR;16939;"{""type"": ""Point"", ""coordinates"": [2.374557003255978, 48.86975999780843]}";48.8697599978, 2.37455700326
Propreté;Malpropreté des mobiliers de collecte des déchets:Corbeille de rue débordante;27 rue sarrette ,75014 PARIS;75014;Paris 14;14.0;2012-11-30T02:00:00+01:00;2012;11;5598.0;S;DPE;JEAN MOULIN - PORTE D'ORLEANS;16942;"{""type"": ""Point"", ""coordinates"": [2.329201996994505, 48.82626000264861]}";48.8262600026, 2.32920199699
Objets abandonnés;Planches et palettes;12 rue du grenier saint-lazare ,75003 PARIS;75003;Paris 3;3.0;2012-12-03T02:00:00+01:00;2012;12;32.0;S;Ramen en tant que prestataire de DansMaRue;REAUMUR;16943;"{""type"": ""Point"", ""coordinates"": [2.353818998340789, 48.8629259972705]}";48.8629259973, 2.35381899834
Graffitis, tags, affiches et autocollants;Affiches ou autocollants sur immeuble, mur ou commerce;33 rue germain pilon ,75018 PARIS;75018;Paris 18;18.0;2012-12-04T02:00:00+01:00;2012;12;289.0;S;DPE;MONTMARTRE;16948;"{""type"": ""Point"", ""coordinates"": [2.336875000384773, 48.88392999546594]}";48.8839299955, 2.33687500038
Objets abandonnés;Planches et palettes;52 rue basfroi ,75011 PARIS;75011;Paris 11;11.0;2012-12-03T02:00:00+01:00;2012;12;266.0;S;Ramen en tant que prestataire de DansMaRue;BASTILLE - POPINCOURT;16950;"{""type"": ""Point"", ""coordinates"": [2.378380997538399, 48.856482999335185]}";48.8564829993, 2.37838099754
Objets abandonnés;Planches et palettes;8 rue sainte-anastase ,75003 PARIS;75003;Paris 3;3.0;2012-12-05T02:00:00+01:00;2012;12;559.0;S;Ramen en tant que prestataire de DansMaRue;RAMBUTEAU - FRANCS-BOURGEOIS;16954;"{""type"": ""Point"", ""coordinates"": [2.363632006663885, 48.859719995691194]}";48.8597199957, 2.36363200666
Objets abandonnés;Objets entrant dans plusieurs catégories;232 boulevard voltaire ,75011 PARIS;75011;Paris 11;11.0;2012-11-27T02:00:00+01:00;2012;11;4521.0;S;Ramen en tant que prestataire de DansMaRue;NATION - ALEXANDRE DUMAS;37369;"{""type"": ""Point"", ""coordinates"": [2.389560003512641, 48.851870001901226]}";48.8518700019, 2.38956000351
Propreté;Malpropreté du sol:Déchets divers épars;15 rue andré del sarte ,75018 PARIS;75018;Paris 18;18.0;2012-11-28T02:00:00+01:00;2012;11;4761.0;S;DPE;MONTMARTRE;37377;"{""type"": ""Point"", ""coordinates"": [2.346440003090196, 48.885769997056]}";48.8857699971, 2.34644000309
Graffitis, tags, affiches et autocollants;Graffitis sur trottoir ou ouvrage d'art;99 avenue du général leclerc ,75014 PARIS;75014;Paris 14;14.0;2012-11-08T02:00:00+01:00;2012;11;947.0;S;graffitis;JEAN MOULIN - PORTE D'ORLEANS;37387;"{""type"": ""Point"", ""coordinates"": [2.326364002790715, 48.82618300028673]}";48.8261830003, 2.32636400279
