TYPE;SOUSTYPE;ADRESSE;CODE_POSTAL;VILLE;ARRONDISSEMENT;DATEDECL;ANNEE DECLARATION;MOIS DECLARATION;NUMERO;PREFIXE;INTERVENANT;CONSEIL DE QUARTIER;OBJECTID;geo_shape;geo_point_2d
Graffitis, tags, affiches et autocollants;Graffitis sur immeuble, mur ou commerce;31 rue paul fort ,75014 PARIS;75014;Paris 14;14.0;2012-11-09T02:00:00+01:00;2012;11;1255.0;S;graffitis;JEAN MOULIN - PORTE D'ORLEANS;547671;"{""type"": ""Point"", ""coordinates"": [2.328589994129787, 48.823887001867156]}";48.8238870019, 2.32858999413
Objets abandonnés;Meubles et éléments de décoration;26-28 rue pierre guérin ,75016 PARIS;75016;Paris 16;16.0;2012-11-22T02:00:00+01:00;2012;11;3643.0;S;Ramen en tant que prestataire de DansMaRue;AUTEUIL NORD;547681;"{""type"": ""Point"", ""coordinates"": [2.265869003211271, 48.849519996222455]}";48.8495199962, 2.26586900321
Propreté;Malpropreté du sol:Déchets divers épars;314 rue saint-martin ,75003 PARIS;75003;Paris 3;3.0;2012-11-22T02:00:00+01:00;2012;11;3592.0;S;DPE;REAUMUR;547683;"{""type"": ""Point"", ""coordinates"": [2.354959002599728, 48.868003996035654]}";48.868003996, 2.3549590026
Objets abandonnés;Planches et palettes;3 rue condillac ,75011 PARIS;75011;Paris 11;11.0;2012-11-21T02:00:00+01:00;2012;11;3261.0;S;Ramen en tant que prestataire de DansMaRue;BELLEVILLE - SAINT-MAUR;547686;"{""type"": ""Point"", ""coordinates"": [2.383649001851182, 48.86419299640692]}";48.8641929964, 2.38364900185
Propreté;Malpropreté du sol:Feuilles mortes;46 boulevard brune ,75014 PARIS;75014;Paris 14;14.0;2012-11-25T02:00:00+01:00;2012;11;3977.0;S;DPE;DIDOT - PORTE DE VANVES;547689;"{""type"": ""Point"", ""coordinates"": [2.309251994841302, 48.82690999893425]}";48.8269099989, 2.30925199484
Objets abandonnés;Objets entrant dans plusieurs catégories;73-77 rue de charonne ,75011 PARIS;75011;Paris 11;11.0;2012-11-26T02:00:00+01:00;2012;11;4311.0;S;Ramen en tant que prestataire de DansMaRue;BASTILLE - POPINCOURT;547696;"{""type"": ""Point"", ""coordinates"": [2.381173994557331, 48.853766996122616]}";48.8537669961, 2.38117399456
Graffitis, tags, affiches et autocollants;... sur corbeille à déchets et mobilier urbain;25 rue péclet ,75015 PARIS;75015;Paris 15;15.0;2012-10-25T04:00:00+02:00;2012;10;599.0;S;DPE;SAINT-LAMBERT;627873;"{""type"": ""Point"", ""coordinates"": [2.300217001423046, 48.84120600143589]}";48.8412060014, 2.30021700142
Graffitis, tags, affiches et autocollants;Graffitis sur immeuble, mur ou commerce;18 rue ortolan, 75005 PARIS;75005;Paris 5;5.0;2012-12-28T02:00:00+01:00;2012;12;3357.0;S;graffitis;JARDIN DES PLANTES;627887;"{""type"": ""Point"", ""coordinates"": [2.350097003993315, 48.84321000337162]}";48.8432100034, 2.35009700399
Voirie et déplacements;Chaussées:Revêtement manquant;14 rue de l'odéon ,75006 PARIS;75006;Paris 6;6.0;2012-12-13T02:00:00+01:00;2012;12;1870.0;S;DVD;ODEON;238021;"{""type"": ""Point"", ""coordinates"": [2.338592996509923, 48.850715996209246]}";48.8507159962, 2.33859299651
Voirie et déplacements;Trottoirs:Affaissement, trou, bosse, pavé arraché;10 rue du sabot ,75006 PARIS;75006;Paris 6;6.0;2012-12-05T02:00:00+01:00;2012;12;568.0;S;DVD;SAINT-GERMAIN DES PRES;238022;"{""type"": ""Point"", ""coordinates"": [2.331502006205683, 48.85278299852577]}";48.8527829985, 2.33150200621
Voirie et déplacements;Trottoirs:Affaissement, trou, bosse, pavé arraché;10 rue du sabot ,75006 PARIS;75006;Paris 6;6.0;2012-11-27T02:00:00+01:00;2012;11;4404.0;S;DVD;SAINT-GERMAIN DES PRES;238023;"{""type"": ""Point"", ""coordinates"": [2.331555996005195, 48.85281000204018]}";48.852810002, 2.33155599601
Voirie et déplacements;Panneaux routiers:Panneau endommagé;124-140 boulevards des maréchaux ,75013 PARIS;75013;Paris 13;13.0;2012-12-19T02:00:00+01:00;2012;12;2763.0;S;DVD;OLYMPIADES - CHOISY;238030;"{""type"": ""Point"", ""coordinates"": [2.363363001724843, 48.8197329968781]}";48.8197329969, 2.36336300172
Voirie et déplacements;Panneaux routiers:Panneau endommagé;31 rue bénard ,75014 PARIS;75014;Paris 14;14.0;2012-12-07T02:00:00+01:00;2012;12;1291.0;S;DVD;PERNETY;235422;"{""type"": ""Point"", ""coordinates"": [2.322605004266259, 48.83156600253035]}";48.8315660025, 2.32260500427
Graffitis, tags, affiches et autocollants;Graffitis sur statue, monument, ¿uvre d'art;21 boulevard diderot ,75012 PARIS;75012;Paris 12;12.0;2012-12-17T02:00:00+01:00;2012;12;2317.0;S;DAC;ALIGRE - GARE DE LYON;238452;"{""type"": ""Point"", ""coordinates"": [2.373697996127486, 48.84572199764027]}";48.8457219976, 2.37369799613
Objets abandonnés;Objets entrant dans plusieurs catégories;4-6 place nationale ,75013 PARIS;75013;Paris 13;13.0;2012-07-25T04:00:00+02:00;2012;7;214.0;S;Ramen en tant que prestataire de DansMaRue;DUNOIS - BIBLIOTHEQUE - JEANNE-D'ARC;445206;"{""type"": ""Point"", ""coordinates"": [2.365556998903235, 48.82913600349579]}";48.8291360035, 2.3655569989
Objets abandonnés;Autre objet (hors catégories précédentes);32 avenue d'ivry ,75013 PARIS;75013;Paris 13;13.0;2012-08-15T04:00:00+02:00;2012;8;250.0;S;Ramen en tant que prestataire de DansMaRue;OLYMPIADES - CHOISY;445213;"{""type"": ""Point"", ""coordinates"": [2.366380993547088, 48.82296999750258]}";48.8229699975, 2.36638099355
Objets abandonnés;Planches et palettes;137 rue nationale ,75013 PARIS;75013;Paris 13;13.0;2012-08-16T04:00:00+02:00;2012;8;256.0;S;Ramen en tant que prestataire de DansMaRue;NATIONALE - DEUX MOULINS;445215;"{""type"": ""Point"", ""coordinates"": [2.364564002860575, 48.82996399964143]}";48.8299639996, 2.36456400286
Objets abandonnés;Équipements électriques et électroniques;8 rue lebon ,75017 PARIS;75017;Paris 17;17.0;2012-08-29T04:00:00+02:00;2012;8;508.0;S;Ramen en tant que prestataire de DansMaRue;TERNES - MAILLOT;445222;"{""type"": ""Point"", ""coordinates"": [2.292132003611992, 48.880955000495184]}";48.8809550005, 2.29213200361
Propreté;Malpropreté du sol:Déchets divers épars;74 rue clisson ,75013 PARIS;75013;Paris 13;13.0;2012-09-12T04:00:00+02:00;2012;9;212.0;S;DPE;NATIONALE - DEUX MOULINS;445229;"{""type"": ""Point"", ""coordinates"": [2.36556699748604, 48.829830002815896]}";48.8298300028, 2.36556699749
Objets abandonnés;Meubles et éléments de décoration;13 rue gros ,75016 PARIS;75016;Paris 16;16.0;2012-09-18T04:00:00+02:00;2012;9;372.0;S;Ramen en tant que prestataire de DansMaRue;AUTEUIL NORD;445232;"{""type"": ""Point"", ""coordinates"": [2.276906002990954, 48.85113499653062]}";48.8511349965, 2.27690600299
Objets abandonnés;Meubles et éléments de décoration;6 rue de la félicite, 75017 PARIS;75017;Paris 17;17.0;2012-09-19T04:00:00+02:00;2012;9;485.0;S;Ramen en tant que prestataire de DansMaRue;PEREIRE - MALESHERBES;445236;"{""type"": ""Point"", ""coordinates"": [2.309762195874651, 48.886521995601896]}";48.8865219956, 2.30976219587
Mobiliers urbains dégradés (arrachés, cassés, tordus, bancals, en panne... );Mobiliers de protection :Potelet, barrière ou garde-corps;35 rue victor duruy ,75015 PARIS;75015;Paris 15;15.0;2012-09-21T04:00:00+02:00;2012;9;549.0;S;DVD;ALLERAY - PROCESSION;445238;"{""type"": ""Point"", ""coordinates"": [2.300211993532944, 48.83637000245394]}";48.8363700025, 2.30021199353
Propreté;Malpropreté du sol:Déchets divers épars;28 avenue niel ,75017 PARIS;75017;Paris 17;17.0;2012-09-27T04:00:00+02:00;2012;9;715.0;S;DPE;COURCELLES - WAGRAM;445243;"{""type"": ""Point"", ""coordinates"": [2.295527003087363, 48.881134001735816]}";48.8811340017, 2.29552700309
Objets abandonnés;Planches et palettes;2-8 rue olivier messiaen ,75013 PARIS;75013;Paris 13;13.0;2012-10-02T04:00:00+02:00;2012;10;69.0;S;Ramen en tant que prestataire de DansMaRue;PATAY - MASSENA;445247;"{""type"": ""Point"", ""coordinates"": [2.379211000906879, 48.82987999933602]}";48.8298799993, 2.37921100091
Voirie et déplacements;Trottoirs:Affaissement, trou, bosse, pavé arraché;5 rue des canettes ,75006 PARIS;75006;Paris 6;6.0;2012-10-24T04:00:00+02:00;2012;10;554.0;S;DVD;ODEON;445261;"{""type"": ""Point"", ""coordinates"": [2.333774003863676, 48.85234999464492]}";48.8523499946, 2.33377400386
Graffitis, tags, affiches et autocollants;Graffitis sur immeuble, mur ou commerce;2-4 rue charrière ,75011 PARIS;75011;Paris 11;11.0;2012-10-30T02:00:00+01:00;2012;10;924.0;S;graffitis;BASTILLE - POPINCOURT;445272;"{""type"": ""Point"", ""coordinates"": [2.381521005359761, 48.853449997352286]}";48.8534499974, 2.38152100536
Objets abandonnés;Planches et palettes;35 rue de la cour des noues ,75020 PARIS;75020;Paris 20;20.0;2012-10-31T02:00:00+01:00;2012;10;1283.0;S;Ramen en tant que prestataire de DansMaRue;GAMBETTA;445279;"{""type"": ""Point"", ""coordinates"": [2.40118699562426, 48.8641969988824]}";48.8641969989, 2.40118699562
Graffitis, tags, affiches et autocollants;Graffitis sur immeuble, mur ou commerce;50 rue godefroy cavaignac ,75011 PARIS;75011;Paris 11;11.0;2012-11-06T02:00:00+01:00;2012;11;269.0;S;graffitis;LEON BLUM - FOLIE-REGNAULT;445290;"{""type"": ""Point"", ""coordinates"": [2.380061003976811, 48.857079996660836]}";48.8570799967, 2.38006100398
Objets abandonnés;Autre objet (hors catégories précédentes);75 rue dutot ,75015 PARIS;75015;Paris 15;15.0;2012-11-07T02:00:00+01:00;2012;11;723.0;S;Ramen en tant que prestataire de DansMaRue;ALLERAY - PROCESSION;445302;"{""type"": ""Point"", ""coordinates"": [2.307454995178705, 48.837250003368034]}";48.8372500034, 2.30745499518
Graffitis, tags, affiches et autocollants;Graffitis sur immeuble, mur ou commerce;3 avenue jean aicard ,75011 PARIS;75011;Paris 11;11.0;2012-11-07T02:00:00+01:00;2012;11;745.0;S;graffitis;BELLEVILLE - SAINT-MAUR;445305;"{""type"": ""Point"", ""coordinates"": [2.381242006577081, 48.86467400030856]}";48.8646740003, 2.38124200658
Graffitis, tags, affiches et autocollants;Graffitis sur immeuble, mur ou commerce;125 rue oberkampf ,75011 PARIS;75011;Paris 11;11.0;2012-11-08T02:00:00+01:00;2012;11;1056.0;S;graffitis;BELLEVILLE - SAINT-MAUR;445310;"{""type"": ""Point"", ""coordinates"": [2.379614000003474, 48.8663140022972]}";48.8663140023, 2.379614
Graffitis, tags, affiches et autocollants;... sur corbeille à déchets et mobilier urbain;14 rue de la bucherie ,75005 PARIS;75005;Paris 5;5.0;2012-11-08T02:00:00+01:00;2012;11;1023.0;S;DPE;SORBONNE;445315;"{""type"": ""Point"", ""coordinates"": [2.348491001758875, 48.85176499907175]}";48.8517649991, 2.34849100176
Graffitis, tags, affiches et autocollants;Graffitis sur immeuble, mur ou commerce;90 rue du faubourg du temple ,75011 PARIS;75011;Paris 11;11.0;2012-11-08T02:00:00+01:00;2012;11;1111.0;S;graffitis;BELLEVILLE - SAINT-MAUR;445318;"{""type"": ""Point"", ""coordinates"": [2.373752995263907, 48.87069699618666]}";48.8706969962, 2.37375299526
Graffitis, tags, affiches et autocollants;... sur corbeille à déchets et mobilier urbain;87 boulevard richard lenoir ,75011 PARIS;75011;Paris 11;11.0;2012-11-09T02:00:00+01:00;2012;11;1302.0;S;DPE;REPUBLIQUE - SAINT-AMBROISE;445321;"{""type"": ""Point"", ""coordinates"": [2.372232998241596, 48.862125001808]}";48.8621250018, 2.37223299824
Propreté;Malpropreté du sol:Autre;8 rue prisse d'avennes ,75014 PARIS;75014;Paris 14;14.0;2012-11-09T02:00:00+01:00;2012;11;1157.0;S;DPE;JEAN MOULIN - PORTE D'ORLEANS;445322;"{""type"": ""Point"", ""coordinates"": [2.328488004969995, 48.82523299776415]}";48.8252329978, 2.32848800497
Graffitis, tags, affiches et autocollants;Graffitis sur trottoir ou ouvrage d'art;1 rue henri barboux ,75014 PARIS;75014;Paris 14;14.0;2012-11-10T02:00:00+01:00;2012;11;1358.0;S;graffitis;JEAN MOULIN - PORTE D'ORLEANS;445323;"{""type"": ""Point"", ""coordinates"": [2.326459005548673, 48.82260500306749]}";48.8226050031, 2.32645900555
Graffitis, tags, affiches et autocollants;Graffitis sur immeuble, mur ou commerce;48 rue des meuniers ,75012 PARIS;75012;Paris 12;12.0;2012-11-12T02:00:00+01:00;2012;11;1647.0;S;graffitis;PICPUS SUD;445329;"{""type"": ""Point"", ""coordinates"": [2.395725999429841, 48.83527400190662]}";48.8352740019, 2.39572599943
Propreté;Malpropreté des mobiliers de collecte des déchets:Corbeille de rue débordante;54 boulevard de charonne ,75020 PARIS;75020;Paris 20;20.0;2012-11-16T02:00:00+01:00;2012;11;2413.0;S;DPE;PERE LACHAISE - REUNION;445354;"{""type"": ""Point"", ""coordinates"": [2.397858003858959, 48.85219000260902]}";48.8521900026, 2.39785800386
Problème sur un chantier;Chantier de voirie sans barrière ou information et présentant un danger;109 rue saint-martin ,75004 PARIS;75004;Paris 4;4.0;2012-11-18T02:00:00+01:00;2012;11;2628.0;S;DVD;SAINT-MERRI;445358;"{""type"": ""Point"", ""coordinates"": [2.351002006640624, 48.860380000126966]}";48.8603800001, 2.35100200664
Mobiliers urbains dégradés (arrachés, cassés, tordus, bancals, en panne... );Mobiliers de collecte des déchets:Corbeille de rue;20 rue du louvre ,75001 PARIS;75001;Paris 1;1.0;2012-11-17T02:00:00+01:00;2012;11;2575.0;S;DPE;LES HALLES;445361;"{""type"": ""Point"", ""coordinates"": [2.341061994452788, 48.86139300082564]}";48.8613930008, 2.34106199445
Propreté;Malpropreté des mobiliers de collecte des déchets:Corbeille de rue débordante;44 rue des envierges ,75020 PARIS;75020;Paris 20;20.0;2012-11-19T02:00:00+01:00;2012;11;2744.0;S;DPE;BELLEVILLE;445362;"{""type"": ""Point"", ""coordinates"": [2.38817299871087, 48.87230699967644]}";48.8723069997, 2.38817299871
Propreté;Malpropreté du sol:Grille d'égout encrassée;7 rue d'alésia ,75014 PARIS;75014;Paris 14;14.0;2012-11-14T02:00:00+01:00;2012;11;2056.0;S;DPE;MONTSOURIS - DAREAU;445366;"{""type"": ""Point"", ""coordinates"": [2.338348998295837, 48.826840000551634]}";48.8268400006, 2.3383489983
Objets abandonnés;Planches et palettes;241 rue saint-martin ,75003 PARIS;75003;Paris 3;3.0;2012-11-19T02:00:00+01:00;2012;11;2781.0;S;Ramen en tant que prestataire de DansMaRue;REAUMUR;445368;"{""type"": ""Point"", ""coordinates"": [2.353217001706271, 48.865639998879146]}";48.8656399989, 2.35321700171
Objets abandonnés;Meubles et éléments de décoration;14 rue lisfranc ,75020 PARIS;75020;Paris 20;20.0;2012-11-20T02:00:00+01:00;2012;11;2823.0;S;Ramen en tant que prestataire de DansMaRue;SAINT-BLAISE;445369;"{""type"": ""Point"", ""coordinates"": [2.402407004616022, 48.86201999965962]}";48.8620199997, 2.40240700462
Objets abandonnés;Planches et palettes;23 rue du montparnasse ,75014 PARIS;75014;Paris 14;14.0;2012-11-20T02:00:00+01:00;2012;11;2977.0;S;Ramen en tant que prestataire de DansMaRue;RASPAIL - MONTPARNASSE;445376;"{""type"": ""Point"", ""coordinates"": [2.325480003394162, 48.841971995082716]}";48.8419719951, 2.32548000339
Objets abandonnés;Planches et palettes;5 rue papin ,75002 PARIS;75002;Paris 2;3.0;2012-11-20T02:00:00+01:00;2012;11;2944.0;S;Ramen en tant que prestataire de DansMaRue;REAUMUR;445377;"{""type"": ""Point"", ""coordinates"": [2.353401995369849, 48.86692400147069]}";48.8669240015, 2.35340199537
Objets abandonnés;Planches et palettes;16 rue des messageries ,75010 PARIS;75010;Paris 10;10.0;2012-11-20T02:00:00+01:00;2012;11;3113.0;S;Ramen en tant que prestataire de DansMaRue;PORTE SAINT-DENIS - PARADIS;445378;"{""type"": ""Point"", ""coordinates"": [2.349316000584846, 48.87624000295356]}";48.876240003, 2.34931600058
Objets abandonnés;Meubles et éléments de décoration;18 rue jean moinon ,75010 PARIS;75010;Paris 10;10.0;2012-11-22T02:00:00+01:00;2012;11;3554.0;S;Ramen en tant que prestataire de DansMaRue;FAUBOURG DU TEMPLE - HOPITAL SAINT-LOUIS;445390;"{""type"": ""Point"", ""coordinates"": [2.371707003039776, 48.874153000558145]}";48.8741530006, 2.37170700304
Objets abandonnés;Meubles et éléments de décoration;9 rue breguet ,75011 PARIS;75011;Paris 11;11.0;2012-11-26T02:00:00+01:00;2012;11;4169.0;S;Ramen en tant que prestataire de DansMaRue;BASTILLE - POPINCOURT;445403;"{""type"": ""Point"", ""coordinates"": [2.371580006643781, 48.85668600170257]}";48.8566860017, 2.37158000664
Objets abandonnés;Équipements électriques et électroniques;Passage Cardinet, 75017 PARIS;75017;Paris 17;17.0;2012-11-26T02:00:00+01:00;2012;11;4218.0;S;Ramen en tant que prestataire de DansMaRue;PEREIRE - MALESHERBES;445407;"{""type"": ""Point"", ""coordinates"": [2.31130205723321, 48.886029953320694]}";48.8860299533, 2.31130205723
Graffitis, tags, affiches et autocollants;Graffitis sur autres supports:Graffitis sur arbre;1 quai de conti ,75006 PARIS;75006;Paris 6;6.0;2012-11-27T02:00:00+01:00;2012;11;4450.0;S;DEVE-SAB;MONNAIE;445413;"{""type"": ""Point"", ""coordinates"": [2.339504000412325, 48.856723996480916]}";48.8567239965, 2.33950400041
Graffitis, tags, affiches et autocollants;Graffitis sur immeuble, mur ou commerce;32 rue félicien david ,75016 PARIS;75016;Paris 16;16.0;2012-11-22T02:00:00+01:00;2012;11;3665.0;S;graffitis;AUTEUIL NORD;445414;"{""type"": ""Point"", ""coordinates"": [2.273772993202494, 48.84853399984153]}";48.8485339998, 2.2737729932
Graffitis, tags, affiches et autocollants;Graffitis sur immeuble, mur ou commerce;15 rue de jouy ,75004 PARIS;75004;Paris 4;4.0;2012-11-27T02:00:00+01:00;2012;11;4630.0;S;graffitis;SAINT-GERVAIS;445415;"{""type"": ""Point"", ""coordinates"": [2.357895999342642, 48.854800002872665]}";48.8548000029, 2.35789599934
Graffitis, tags, affiches et autocollants;Affiches ou autocollants sur immeuble, mur ou commerce;95-99 rue de charonne ,75011 PARIS;75011;Paris 11;11.0;2012-11-28T02:00:00+01:00;2012;11;4969.0;S;DPE;LEON BLUM - FOLIE-REGNAULT;445418;"{""type"": ""Point"", ""coordinates"": [2.383622001024755, 48.85437799629935]}";48.8543779963, 2.38362200102
Objets abandonnés;Objets entrant dans plusieurs catégories;20 avenue parmentier ,75011 PARIS;75011;Paris 11;11.0;2012-11-28T02:00:00+01:00;2012;11;4981.0;S;Ramen en tant que prestataire de DansMaRue;LEON BLUM - FOLIE-REGNAULT;445421;"{""type"": ""Point"", ""coordinates"": [2.37909900491396, 48.860114999985825]}";48.860115, 2.37909900491
Objets abandonnés;Objets entrant dans plusieurs catégories;116 boulevard de belleville ,75020 PARIS;75020;Paris 20;20.0;2012-11-29T02:00:00+01:00;2012;11;5034.0;S;Ramen en tant que prestataire de DansMaRue;BELLEVILLE;445423;"{""type"": ""Point"", ""coordinates"": [2.378412999316433, 48.87104000263049]}";48.8710400026, 2.37841299932
Objets abandonnés;Autre objet (hors catégories précédentes);323-335 rue de belleville ,75020 PARIS;75020;Paris 20;19.0;2012-11-01T02:00:00+01:00;2012;11;14.0;S;Ramen en tant que prestataire de DansMaRue;PORTE DES LILAS;445430;"{""type"": ""Point"", ""coordinates"": [2.404485003648013, 48.876713000269284]}";48.8767130003, 2.40448500365
Propreté;Malpropreté du sol:Urine;57 rue de miromesnil ,75008 PARIS;75008;Paris 8;8.0;2012-11-29T02:00:00+01:00;2012;11;5287.0;S;DPE;PARC MONCEAU;445436;"{""type"": ""Point"", ""coordinates"": [2.315501997492481, 48.87587700232167]}";48.8758770023, 2.31550199749
Objets abandonnés;Portes, fenêtres, volets, vitres et sanitaires;82 rue belliard ,75018 PARIS;75018;Paris 18;18.0;2012-11-30T02:00:00+01:00;2012;11;5421.0;S;Ramen en tant que prestataire de DansMaRue;GRANDES CARRIERES - CLICHY;445437;"{""type"": ""Point"", ""coordinates"": [2.330481005435624, 48.89579799956247]}";48.8957979996, 2.33048100544
Propreté;Malpropreté du sol:Déchets divers épars;161 rue du chevaleret ,75013 PARIS;75013;Paris 13;13.0;2012-11-30T02:00:00+01:00;2012;11;5584.0;S;DPE;DUNOIS - BIBLIOTHEQUE - JEANNE-D'ARC;445444;"{""type"": ""Point"", ""coordinates"": [2.370559994901883, 48.832824998079936]}";48.8328249981, 2.3705599949
Graffitis, tags, affiches et autocollants;Graffitis sur immeuble, mur ou commerce;passage sainte-elisabeth ,75003 PARIS;75003;Paris 3;3.0;2012-12-03T02:00:00+01:00;2012;12;75.0;S;graffitis;TEMPLE;445447;"{""type"": ""Point"", ""coordinates"": [2.360862004949543, 48.86609599890987]}";48.8660959989, 2.36086200495
Objets abandonnés;Meubles et éléments de décoration;7 rue de boulainvilliers ,75016 PARIS;75016;Paris 16;16.0;2012-12-03T02:00:00+01:00;2012;12;115.0;S;Ramen en tant que prestataire de DansMaRue;MUETTE SUD;445449;"{""type"": ""Point"", ""coordinates"": [2.277879994301521, 48.852623001028405]}";48.852623001, 2.2778799943
Objets abandonnés;Meubles et éléments de décoration;46 avenue parmentier ,75011 PARIS;75011;Paris 11;11.0;2012-12-03T02:00:00+01:00;2012;12;220.0;S;Ramen en tant que prestataire de DansMaRue;LEON BLUM - FOLIE-REGNAULT;445451;"{""type"": ""Point"", ""coordinates"": [2.377377999226363, 48.86184999678708]}";48.8618499968, 2.37737799923
Objets abandonnés;Planches et palettes;27 rue de paradis ,75010 PARIS;75010;Paris 10;10.0;2012-12-04T02:00:00+01:00;2012;12;368.0;S;Ramen en tant que prestataire de DansMaRue;PORTE SAINT-DENIS - PARADIS;445457;"{""type"": ""Point"", ""coordinates"": [2.350217001541177, 48.87541199519796]}";48.8754119952, 2.35021700154
Objets abandonnés;Planches et palettes;8 rue de l'harmonie ,75015 PARIS;75015;Paris 15;15.0;2012-12-05T02:00:00+01:00;2012;12;737.0;S;Ramen en tant que prestataire de DansMaRue;GEORGES BRASSENS;445461;"{""type"": ""Point"", ""coordinates"": [2.30669800185195, 48.83223699977269]}";48.8322369998, 2.30669800185
Graffitis, tags, affiches et autocollants;Graffitis sur immeuble, mur ou commerce;135 rue lamarck ,75018 PARIS;75018;Paris 18;18.0;2012-12-06T02:00:00+01:00;2012;12;887.0;S;graffitis;GRANDES CARRIERES - CLICHY;445469;"{""type"": ""Point"", ""coordinates"": [2.330394996777831, 48.89106799589017]}";48.8910679959, 2.33039499678
Graffitis, tags, affiches et autocollants;Graffitis sur immeuble, mur ou commerce;81 rue de bagnolet ,75020 PARIS;75020;Paris 20;20.0;2012-12-08T02:00:00+01:00;2012;12;1372.0;S;graffitis;PERE LACHAISE - REUNION;445480;"{""type"": ""Point"", ""coordinates"": [2.400507001910739, 48.85825999886879]}";48.8582599989, 2.40050700191
Propreté;Malpropreté du sol:Déchets divers épars;20 rue de bagnolet ,75020 PARIS;75020;Paris 20;20.0;2012-12-08T02:00:00+01:00;2012;12;1388.0;S;DPE;PERE LACHAISE - REUNION;445482;"{""type"": ""Point"", ""coordinates"": [2.396298997717984, 48.85680399970091]}";48.8568039997, 2.39629899772
Graffitis, tags, affiches et autocollants;Graffitis sur immeuble, mur ou commerce;11 rue ramey ,75018 PARIS;75018;Paris 18;18.0;2012-12-10T02:00:00+01:00;2012;12;1421.0;S;graffitis;MONTMARTRE;445483;"{""type"": ""Point"", ""coordinates"": [2.347410000921805, 48.88744999697259]}";48.887449997, 2.34741000092
Objets abandonnés;Planches et palettes;24 rue de chabrol ,75010 PARIS;75010;Paris 10;10.0;2012-12-04T02:00:00+01:00;2012;12;345.0;S;Ramen en tant que prestataire de DansMaRue;PORTE SAINT-DENIS - PARADIS;445490;"{""type"": ""Point"", ""coordinates"": [2.354630001008308, 48.876580002290275]}";48.8765800023, 2.35463000101
Propreté;Malpropreté du sol:Déchets divers épars;13 rue montcalm ,75018 PARIS;75018;Paris 18;18.0;2012-12-11T02:00:00+01:00;2012;12;1656.0;S;DPE;CLIGNANCOURT - JULES JOFFRIN;445493;"{""type"": ""Point"", ""coordinates"": [2.336288006251198, 48.892380002750755]}";48.8923800028, 2.33628800625
Objets abandonnés;Objets entrant dans plusieurs catégories;15 rue de sambre-et-meuse ,75010 PARIS;75010;Paris 10;10.0;2012-12-12T02:00:00+01:00;2012;12;1795.0;S;Ramen en tant que prestataire de DansMaRue;FAUBOURG DU TEMPLE - HOPITAL SAINT-LOUIS;445503;"{""type"": ""Point"", ""coordinates"": [2.370807000620195, 48.87489699659768]}";48.8748969966, 2.37080700062
Graffitis, tags, affiches et autocollants;Graffitis sur immeuble, mur ou commerce;13 rue de nevers ,75006 PARIS;75006;Paris 6;6.0;2012-12-13T02:00:00+01:00;2012;12;1894.0;S;graffitis;MONNAIE;445505;"{""type"": ""Point"", ""coordinates"": [2.33926299576274, 48.855519997476364]}";48.8555199975, 2.33926299576
Voirie et déplacements;Trottoirs:Affaissement, trou, bosse, pavé arraché;31 rue jussieu ,75005 PARIS;75005;Paris 5;5.0;2012-12-14T02:00:00+01:00;2012;12;2025.0;S;DVD;SAINT-VICTOR;445506;"{""type"": ""Point"", ""coordinates"": [2.354120995983834, 48.847103002700166]}";48.8471030027, 2.35412099598
Voirie et déplacements;Trottoirs:Revêtement manquant;10 rue du docteur lancereaux ,75008 PARIS;75008;Paris 8;8.0;2012-12-12T02:00:00+01:00;2012;12;1809.0;S;DVD;PARC MONCEAU;445513;"{""type"": ""Point"", ""coordinates"": [2.311557997055351, 48.87659500004354]}";48.876595, 2.31155799706
Graffitis, tags, affiches et autocollants;... sur corbeille à déchets et mobilier urbain;103 avenue de choisy ,75013 PARIS;75013;Paris 13;13.0;2012-12-18T02:00:00+01:00;2012;12;2578.0;S;DPE;OLYMPIADES - CHOISY;445516;"{""type"": ""Point"", ""coordinates"": [2.36090299954972, 48.82493599623265]}";48.8249359962, 2.36090299955
Objets abandonnés;Épave de vélo;155 rue belliard ,75018 PARIS;75018;Paris 18;18.0;2012-12-19T02:00:00+01:00;2012;12;2620.0;S;DPSP-CRE;GRANDES CARRIERES - CLICHY;445519;"{""type"": ""Point"", ""coordinates"": [2.332621994032066, 48.89602299916826]}";48.8960229992, 2.33262199403
Objets abandonnés;Portes, fenêtres, volets, vitres et sanitaires;78 boulevard de sébastopol ,75003 PARIS;75003;Paris 3;3.0;2012-12-23T02:00:00+01:00;2012;12;3061.0;S;Ramen en tant que prestataire de DansMaRue;REAUMUR;445525;"{""type"": ""Point"", ""coordinates"": [2.352179002173678, 48.86508000225285]}";48.8650800023, 2.35217900217
Problème sur un chantier;Chantier de voirie sale;9 place de la république ,75003 PARIS;75003;Paris 3;3.0;2012-12-24T02:00:00+01:00;2012;12;3105.0;S;DVD;TEMPLE;445529;"{""type"": ""Point"", ""coordinates"": [2.363582997266966, 48.86701600108701]}";48.8670160011, 2.36358299727
